name;cases;diff;deaths;update
Baden-Wuerttem­berg;31.336;+140;1.299;24.04.2020
Bayern;41.830;+424;1.754;24.04.2020
Berlin;5.734;+65;137;24.04.2020
Brandenburg;2.768;+21;109;24.04.2020
Bremen;797;+38;29;24.04.2020
Hamburg;4.525;+20;153;24.04.2020
Hessen;8.184;+158;346;24.04.2020
Mecklenburg-Vor­pommern;687;+12;17;24.04.2020
Niedersachsen;9.972;+46;406;24.04.2020
Nordrhein-West­falen;32.429;+245;1.200;24.04.2020
Rhein­land-Pfalz;5.982;+54;161;24.04.2020
Saarland;2.514;+5;129;24.04.2020
Sachsen;4.509;+19;153;24.04.2020
Sachsen-Anhalt;1.525;+5;39;24.04.2020
Schles­wig-Holstein;2.679;+26;103;24.04.2020
Thueringen;2.170;+26;80;24.04.2020
Gesamt;157.641;+1.304;6.115;24.04.2020
